geoid,geoid2,geodisplay,naicsid,establishment_type,op_type,tax_type,year,est_count,receipts,op_exp,payroll,q1payroll,employees,receipts_from_admin,receipts_from_estimate
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Type of operation or tax status code,Meaning of Type of operation or tax status code,Year,Number of establishments,"Receipts/Revenue ($1,000)","Operating expenses ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of receipts/revenue from administrative records (%),Percent of receipts/revenue estimated (%)
330M200US104,104,"Albany-Schenectady, NY CSA",61169,All other schools and instruction,A,All establishments,2012,42,D,N,D,D,e,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61169,All other schools and instruction,T,Establishments subject to federal income tax,2012,29,D,N,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61169,All other schools and instruction,Y,Establishments exempt from federal income tax,2012,13,D,D,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611691,Exam preparation and tutoring,A,All establishments,2012,16,D,N,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611691,Exam preparation and tutoring,T,Establishments subject to federal income tax,2012,10,D,N,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611691,Exam preparation and tutoring,Y,Establishments exempt from federal income tax,2012,6,D,D,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611692,Automobile driving schools,A,All establishments,2012,11,D,N,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611692,Automobile driving schools,T,Establishments subject to federal income tax,2012,11,D,N,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611699,All other miscellaneous schools and instruction,A,All establishments,2012,15,D,N,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611699,All other miscellaneous schools and instruction,T,Establishments subject to federal income tax,2012,8,D,N,D,D,a,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611699,All other miscellaneous schools and instruction,Y,Establishments exempt from federal income tax,2012,7,D,D,D,D,a,D,D
