GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Country,Geographic region,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0100000US,,United States,330M200US264,264,"United States - Gainesville-Lake City, FL CSA","Gainesville-Lake City, FL CSA",331806,331806,332190,333981,336458,337715,341418,345511
0100000US,,United States,330M200US266,266,"United States - Grand Rapids-Wyoming-Muskegon, MI CSA","Grand Rapids-Wyoming-Muskegon, MI CSA",1379237,1379239,1379657,1385555,1396271,1410186,1422511,1433288
0100000US,,United States,330M200US267,267,"United States - Green Bay-Shawano, WI CSA","Green Bay-Shawano, WI CSA",352422,352428,352935,354940,357073,358455,360582,362396
0100000US,,United States,330M200US268,268,"United States - Greensboro--Winston-Salem--High Point, NC CSA","Greensboro--Winston-Salem--High Point, NC CSA",1589200,1589289,1591741,1601427,1610997,1620591,1631929,1642506
0100000US,,United States,330M200US273,273,"United States - Greenville-Spartanburg-Anderson, SC CSA","Greenville-Spartanburg-Anderson, SC CSA",1362073,1362194,1364419,1373107,1384019,1394373,1409757,1426625
0100000US,,United States,330M200US274,274,"United States - Greenville-Washington, NC CSA","Greenville-Washington, NC CSA",215907,215921,216603,218474,220431,221779,222616,223493
0100000US,,United States,330M200US276,276,"United States - Harrisburg-York-Lebanon, PA CSA","Harrisburg-York-Lebanon, PA CSA",1219422,1219465,1220923,1224937,1229846,1234694,1240294,1247235
0100000US,,United States,330M200US277,277,"United States - Harrisonburg-Staunton-Waynesboro, VA CSA","Harrisonburg-Staunton-Waynesboro, VA CSA",243730,243719,243764,245778,247148,248396,250167,251352
0100000US,,United States,330M200US278,278,"United States - Hartford-West Hartford, CT CSA","Hartford-West Hartford, CT CSA",1486436,1486433,1488206,1489406,1488985,1488665,1485968,1483187
0100000US,,United States,330M200US280,280,"United States - Hickory-Lenoir, NC CSA","Hickory-Lenoir, NC CSA",410493,410488,410267,409191,408358,407952,407177,407499
0100000US,,United States,330M200US284,284,"United States - Hot Springs-Malvern, AR CSA","Hot Springs-Malvern, AR CSA",128947,128923,129256,129636,130171,130419,130518,130603
0100000US,,United States,330M200US288,288,"United States - Houston-The Woodlands, TX CSA","Houston-The Woodlands, TX CSA",6114562,6114719,6142919,6254631,6380389,6528359,6693982,6855069
0100000US,,United States,330M200US290,290,"United States - Huntsville-Decatur-Albertville, AL CSA","Huntsville-Decatur-Albertville, AL CSA",664441,664437,666355,673027,678133,683188,688162,692157
